Дата,Клики,Охват,Показы,Бюджет,Заявки,Кампания
2024-06-13,48,1331,1693,13.51,6,SLO
2024-06-14,31,1545,1766,13.5,3,SLO
2024-06-15,41,2227,2726,15.25,6,SLO
2024-06-16,56,2532,2864,15.41,8,SLO
2024-06-17,50,2578,3043,15.58,3,SLO
2024-06-18,54,2349,2663,15.35,7,SLO
2024-06-19,41,2325,2651,14.59,3,SLO
2024-06-20,39,2583,2915,15.03,5,SLO
2024-06-21,44,2597,2820,14.13,3,SLO
2024-06-22,56,2717,2932,13.83,3,SLO
2024-06-23,45,2879,3219,15.46,6,SLO
2024-06-24,43,3006,3320,15.38,1,SLO
2024-06-25,42,2965,3285,15.44,5,SLO
2024-06-26,30,3052,3340,15.72,2,SLO
2024-06-27,39,2662,2923,15.55,2,SLO
2024-06-28,30,2460,2645,14.76,3,SLO
2024-06-29,37,2605,2778,14.13,3,SLO
2024-06-30,37,2751,2965,15.28,3,SLO
2024-07-01,24,2660,3025,15.13,1,SLO
2024-07-02,35,2885,3317,15.72,3,SLO
2024-07-03,33,2488,2757,14.67,4,SLO
2024-07-04,15,2131,2347,12.08,2,SLO
2024-07-05,36,3089,3339,15.17,1,SLO
2024-07-06,31,2619,2940,15.63,5,SLO
2024-07-07,39,2932,3283,14.72,1,SLO
