Дата,Клики,Охват,Показы,Бюджет,Заявки,Кампания
2024-06-26,5,461,509,"2,24",0,RU
2024-06-27,0,110,114,"0,62",0,RU
2024-07-04,0,251,283,"1,51",0,RU
2024-07-05,0,374,415,"2,43",0,RU
2024-07-06,0,392,450,"2,42",0,RU
2024-07-07,3,277,307,"1,95",0,RU
2024-06-26,13,1512,1620,"8,76",2,EN
2024-06-27,22,1385,1483,"9,1",1,EN
2024-06-28,18,1273,1332,"8,9",1,EN
2024-06-29,16,1384,1450,"8,41",1,EN
2024-06-30,16,1412,1487,"9,18",1,EN
2024-07-01,16,1557,1721,"9,03",1,EN
2024-07-02,21,1751,2004,"9,56",2,EN
2024-07-03,14,1421,1579,"8,82",1,EN
2024-07-04,8,1088,1197,"5,92",1,EN
2024-07-05,23,1198,1284,"5,11",1,EN
2024-07-06,13,1072,1166,"5,59",1,EN
2024-07-07,16,1481,1602,"5,59",1,EN
2024-07-08,20,1776,1935,"7,08",1,EN
2024-07-09,24,1871,2042,"7,42",2,EN
2024-06-26,12,1144,1211,"4,72",0,SLO
2024-06-27,17,1248,1326,"5,83",1,SLO
2024-06-28,12,1240,1313,"5,86",2,SLO
2024-06-29,21,1266,1328,"5,72",2,SLO
2024-06-30,21,1406,1478,"6,1",2,SLO
2024-07-01,8,1199,1304,"6,1",0,SLO
2024-07-02,14,1209,1313,"6,16",1,SLO
2024-07-03,19,1116,1178,"5,85",3,SLO
2024-07-04,7,839,867,"4,65",1,SLO
2024-07-05,13,1576,1640,"7,63",0,SLO
2024-07-06,18,1231,1324,"7,62",4,SLO
2024-07-07,20,1261,1374,"7,18",0,SLO
2024-07-08,35,1378,1506,"7,13",1,SLO
2024-07-09,16,1461,1623,"7,3",3,SLO
