Дата,Клики,Охват,Показы,Бюджет,Заявки,Кампания,Группа объявлений
2024-08-14,12,1288,1489,"5,21",0,Реклама на вакансию,Unknown
2024-08-15,31,3407,4143,"14,9",2,Реклама на вакансию,Unknown
2024-08-16,9,1516,1698,"8,28",0,Реклама на вакансию,Unknown
2024-08-13,28,1308,1548,"6,44",5,Реклама на бесплатный пробный урок 13.08,Unknown
2024-08-14,25,2370,3134,"16,14",3,Реклама на бесплатный пробный урок 13.08,Unknown
2024-08-15,37,3017,3597,"18,04",4,Реклама на бесплатный пробный урок 13.08,Unknown
2024-08-16,55,3468,4018,"19,16",1,Реклама на бесплатный пробный урок 13.08,Unknown
2024-08-17,81,4549,5418,"24,16",7,Реклама на бесплатный пробный урок 13.08,Unknown
2024-08-18,96,5194,6088,"27,87",7,Реклама на бесплатный пробный урок 13.08,Unknown
2024-08-19,159,6039,7013,"29,15",11,Реклама на бесплатный пробный урок 13.08,Unknown
2024-08-20,243,9761,11565,"47,77",12,Реклама на бесплатный пробный урок 13.08,Unknown
2024-08-21,279,11492,13633,"55,67",14,Реклама на бесплатный пробный урок 13.08,Unknown
2024-08-22,169,10940,12963,"58,21",6,Реклама на бесплатный пробный урок 13.08,Unknown
2024-08-23,177,9997,11524,"54,21",10,Реклама на бесплатный пробный урок 13.08,Unknown
2024-08-24,160,10371,11609,"56,23",10,Реклама на бесплатный пробный урок 13.08,Unknown
2024-08-25,185,11267,12942,"59,69",11,Реклама на бесплатный пробный урок 13.08,Unknown
2024-08-26,164,10900,12262,"59,81",6,Реклама на бесплатный пробный урок 13.08,Unknown
2024-08-27,196,13366,16482,"93,7",8,Реклама на бесплатный пробный урок 13.08,Unknown
2024-08-28,173,15166,18457,"94,25",9,Реклама на бесплатный пробный урок 13.08,Unknown
2024-08-29,212,16659,20199,"113,79",10,Реклама на бесплатный пробный урок 13.08,Unknown
2024-08-30,169,17448,20728,"121,86",9,Реклама на бесплатный пробный урок 13.08,Unknown
2024-08-31,202,19020,22857,"122,7",11,Реклама на бесплатный пробный урок 13.08,Unknown
2024-09-01,233,22982,28019,"123,67",7,Реклама на бесплатный пробный урок 13.08,Unknown
2024-09-02,199,21191,25826,"123,33",5,Реклама на бесплатный пробный урок 13.08,Unknown
2024-09-03,137,16337,19053,"100,98",3,Реклама на бесплатный пробный урок 13.08,Unknown
2024-09-04,155,13793,16332,"92,48",7,Реклама на бесплатный пробный урок 13.08,Unknown
2024-06-13,10,333,441,"3,58",0,RU,Unknown
2024-06-14,9,388,456,"3,62",1,RU,Unknown
2024-06-15,18,786,1020,"5,64",1,RU,Unknown
2024-06-16,16,726,850,"5,12",2,RU,Unknown
2024-06-17,20,785,973,"5,33",1,RU,Unknown
2024-06-18,23,720,829,"5,16",3,RU,Unknown
2024-06-19,12,705,846,"4,75",0,RU,Unknown
2024-06-20,2,669,764,"4,18",0,RU,Unknown
2024-06-21,7,482,534,"3,07",0,RU,Unknown
2024-06-22,9,517,554,"2,92",1,RU,Unknown
2024-06-23,10,486,536,"3,14",2,RU,Unknown
2024-06-24,10,585,658,"3,12",0,RU,Unknown
2024-06-25,11,559,644,"3,06",0,RU,Unknown
2024-06-26,5,461,509,"2,24",0,RU,Unknown
2024-06-27,0,110,114,"0,62",0,RU,Unknown
2024-07-04,0,251,283,"1,51",0,RU,Unknown
2024-07-05,0,374,415,"2,43",0,RU,Unknown
2024-07-06,0,392,450,"2,42",0,RU,Unknown
2024-07-07,3,277,307,"1,95",0,RU,Unknown
2024-06-13,22,527,657,"5,0",4,EN,Unknown
2024-06-14,12,649,723,"4,94",1,EN,Unknown
2024-06-15,8,760,858,"4,72",1,EN,Unknown
2024-06-16,13,913,992,"5,14",2,EN,Unknown
2024-06-17,19,981,1098,"5,12",2,EN,Unknown
2024-06-18,13,959,1036,"5,09",1,EN,Unknown
2024-06-19,14,865,927,"4,96",2,EN,Unknown
2024-06-20,27,1065,1168,"5,83",4,EN,Unknown
2024-06-21,25,1540,1643,"7,77",3,EN,Unknown
2024-06-22,30,1608,1708,"8,16",1,EN,Unknown
2024-06-23,21,1804,1986,"9,33",3,EN,Unknown
2024-06-24,17,1800,1931,"9,18",0,EN,Unknown
2024-06-25,19,1752,1862,"9,3",3,EN,Unknown
2024-06-26,13,1512,1620,"8,76",2,EN,Unknown
2024-06-27,22,1385,1483,"9,1",1,EN,Unknown
2024-06-28,18,1273,1332,"8,9",1,EN,Unknown
2024-06-29,16,1384,1450,"8,41",1,EN,Unknown
2024-06-30,16,1412,1487,"9,18",1,EN,Unknown
2024-07-01,16,1557,1721,"9,03",1,EN,Unknown
2024-07-02,21,1751,2004,"9,56",2,EN,Unknown
2024-07-03,14,1421,1579,"8,82",1,EN,Unknown
2024-07-04,8,1088,1197,"5,92",1,EN,Unknown
2024-07-05,23,1198,1284,"5,11",1,EN,Unknown
2024-07-06,13,1072,1166,"5,59",1,EN,Unknown
2024-07-07,16,1481,1602,"5,59",1,EN,Unknown
2024-07-08,20,1776,1935,"7,08",1,EN,Unknown
2024-07-09,24,1871,2043,"7,43",2,EN,Unknown
2024-07-10,26,1800,1931,"6,88",1,EN,Unknown
2024-07-11,15,1712,1825,"6,9",1,EN,Unknown
2024-07-12,10,1408,1525,"6,77",1,EN,Unknown
2024-07-13,17,1513,1634,"6,54",2,EN,Unknown
2024-07-14,15,1872,1994,"7,1",1,EN,Unknown
2024-07-15,25,1840,1981,"7,25",2,EN,Unknown
2024-07-16,20,1961,2113,"7,09",1,EN,Unknown
2024-07-17,5,1364,1448,"5,53",0,EN,Unknown
2024-06-13,16,510,595,"4,93",2,SLO,Unknown
2024-06-14,10,556,587,"4,94",1,SLO,Unknown
2024-06-15,15,765,848,"4,89",4,SLO,Unknown
2024-06-16,27,958,1022,"5,15",4,SLO,Unknown
2024-06-17,11,892,972,"5,13",0,SLO,Unknown
